"assembly"	"sample"	"design"	"raw total sequences"	"filtered sequences"	"sequences"	"is sorted"	"1st fragments"	"last fragments"	"reads mapped"	"reads mapped and paired"	"reads unmapped"	"reads properly paired"	"reads paired"	"reads duplicated"	"reads MQ0"	"reads QC failed"	"non-primary alignments"	"supplementary alignments"	"total length"	"total first fragment length"	"total last fragment length"	"bases mapped"	"bases mapped (cigar)"	"bases trimmed"	"bases duplicated"	"mismatches"	"error rate"	"average length"	"average first fragment length"	"average last fragment length"	"maximum length"	"maximum first fragment length"	"maximum last fragment length"	"average quality"	"insert size average"	"insert size standard deviation"	"inward oriented pairs"	"outward oriented pairs"	"pairs with other orientation"	"pairs on different chromosomes"	"percentage of properly paired reads (%)"
"hg38"	"HG00190"	"1kGP WGS
long-read"	2170179	0	2170179	1	2170179	0	2067368	0	102811	0	0	0	5025	0	738861	378703	45962470000	45962470000	0	45016780000	44221310000	0	0	2875393000	0.0650228	21179	21179	0	488196	488196	0	255	0	0	0	0	0	0	0
"hg38"	"HG00235"	"1kGP WGS
long-read"	6791006	0	6791006	1	6791006	0	6445287	0	345719	0	0	0	17077	0	2013794	1136638	1.18179e+11	1.18179e+11	0	114715300000	112535300000	0	0	8425881000	0.07487319	17402	17402	0	667363	667363	0	255	0	0	0	0	0	0	0
"hg38"	"HG00242"	"1kGP WGS
long-read"	4366854	0	4366854	1	4366854	0	4134482	0	232372	0	0	0	11377	0	1360541	842859	94675780000	94675780000	0	92436100000	90750520000	0	0	6146398000	0.06772851	21681	21681	0	832656	832656	0	255	0	0	0	0	0	0	0
"hg38"	"HG00243"	"1kGP WGS
long-read"	6352468	0	6352468	1	6352468	0	6023515	0	328953	0	0	0	15771	0	1856685	1088729	118417700000	118417700000	0	115481500000	113295700000	0	0	7586152000	0.06695889	18641	18641	0	1837988	1837988	0	255	0	0	0	0	0	0	0
"hg38"	"HG00247"	"1kGP WGS
long-read"	5083759	0	5083759	1	5083759	0	4861053	0	222706	0	0	0	15460	0	1452730	730209	56992270000	56992270000	0	55622720000	54917260000	0	0	4138644000	0.07536143	11211	11211	0	990175	990175	0	255	0	0	0	0	0	0	0
"hg38"	"HG00252"	"1kGP WGS
long-read"	5992561	0	5992561	1	5992561	0	5699937	0	292624	0	0	0	17789	0	1909249	869870	83086930000	83086930000	0	80711640000	79245400000	0	0	5563970000	0.07021189	13865	13865	0	560011	560011	0	255	0	0	0	0	0	0	0
"hg38"	"HG00254"	"1kGP WGS
long-read"	6778619	0	6778619	1	6778619	0	6483716	0	294903	0	0	0	18421	0	1942602	1037566	117646300000	117646300000	0	114854700000	112902600000	0	0	7659770000	0.06784407	17355	17355	0	1019917	1019917	0	255	0	0	0	0	0	0	0
"hg38"	"HG00255"	"1kGP WGS
long-read"	6180633	0	6180633	1	6180633	0	5835612	0	345021	0	0	0	17432	0	1794460	1190105	80952810000	80952810000	0	78567120000	77088690000	0	0	5129102000	0.06653509	13098	13098	0	1139196	1139196	0	255	0	0	0	0	0	0	0
"hg38"	"HG00258"	"1kGP WGS
long-read"	7556796	0	7556796	1	7556796	0	7181357	0	375439	0	0	0	30848	0	2273703	1388094	92073670000	92073670000	0	89455930000	87941850000	0	0	5894722000	0.06702977	12184	12184	0	608917	608917	0	255	0	0	0	0	0	0	0
"hg38"	"HG00261"	"1kGP WGS
long-read"	15501820	0	15501820	1	15501820	0	14782450	0	719375	0	0	0	78464	0	4303559	2103537	122150500000	122150500000	0	118467900000	1.16361e+11	0	0	8214437000	0.07059442	7880	7880	0	1214774	1214774	0	255	0	0	0	0	0	0	0
